gcode,ReleaseDate,ListPrice,Brand,Series Title,Character Name,Sculptor,Scale,Size,Material
FIGURE-031249,,14580,Griffon Enterprises,Original Character,,TEAM GENESIS,1/6,Approx. H14.5cm,"PVC, ABS"
FIGURE-002156,2013-12-01 00:00:00,10584,,Persona 4 The Ultimate in Mayonaka Arena,Elizabeth,Teruyuki8BEAM,1/8,Approx. H23cm,
FIG-MOE-0256,2009-02-01 00:00:00,7344,WAVE,Kannagi,Nagi,zenkoIousen,1/7,Approx. L235mm,
FIGURE-015329,2016-06-01 00:00:00,15012,Broccoli,Sabbat of the Witch,Nene Ayachi,Ryo Hashimoto,1/7,Approx. H24cm,"Main Part: ATBC-PVC, ABS / Base: ABS"
FIG-MOE-7241,2013-02-01 00:00:00,9720,,Accel World,Kuroyukihime,Tsukuru Shirahige,1/8,Approx. H255mm (including base),
FIG-MOE-0001,2008-09-01 00:00:00,6994,Toy's Works,Nogizaka Haruka no Himitsu,Haruka Nogizaka,Vassallo Kick,1/8,Approx. H19cm,"PVC, ABS (Non-phthalate Ester)"
FIGURE-031510,,14580,Griffon Enterprises,Original Character,,TEAM GENESIS,1/7,Approx. H24.5cm,"ABS, PVC"
FIGURE-010847,2018-12-01 00:00:00,14300,Aquamarine,Sword Art Online II,Shino Asada(Sinon),Satoshi TodaPrincipality of Kagutsuchino,1/7,Approx. H215mm,
FIGURE-009039-R,2014-11-01 00:00:00,2480,Banpresto,Sword Art Online II,Shino Asada(Sinon),,,Approx. H18cm,
FIG-MOE-8480,2020-03-01 00:00:00,8580,,Ano Natsu de Matteru (Waiting in the Summer),Ichika Takatsuki,IBUKIRasetsu,1/8,,PVC/ Base: ABS / Glasses: Etching
FIG-MOE-0474,2009-04-01 00:00:00,8845,COSPA,Da Capo II,Nanaka Shirakawa,,1/6,,"PVC, Partially ABS"
FIG-MOE-4261-R,2012-03-01 00:00:00,780,former SEGA,Oreimo (My Little Sister Can't Be This Cute),Ayase Aragaki,FuyuneAme no Hi Hare no Hi,,Approx. 17cm,
FIGURE-008627-R,2015-04-01 00:00:00,6820,WAVE,Magical Girl Lyrical Nanoha StrikerS,Nanoha Takamachi,z-co,1/10,Approx. H19cm,
FIG-MOE-1887,2010-09-01 00:00:00,17600,Aizu Project,The King of Fighters,Mai Shiranui,Takayuki Shiragami,1/7,,
HOB-FIG-5956,2007-12-01 00:00:00,2520,,Yes! PreCure 5,,,,Approx. 11cm,
FIG-MOE-1481,2010-04-01 00:00:00,7480,Gift,,,Tehu KitukawaKitutehu,1/8,Approx. 200mm,
FIGURE-002957,2019-03-01 00:00:00,4536,WAVE,Hataraku Maou-sama!,Chiho Sasaki,saiKnead,1/10,Approx. H160mm,
FIG-MOE-6242,2012-10-01 00:00:00,13165,FREEing,The Mystic Archives of Dantalian,Dantalian(Dalian),Kouta Abe,1/8,Approx. H105mm,
FIG-MOE-2263,2011-01-01 00:00:00,26180,A+,Queen's Blade,Airi,HEMMP,1/2.5,Approx. H32cm,
FIGURE-048573-R,2019-05-01 00:00:00,980,Bandai,"""Love Live!"" Series",Ruby Kurosawa,,,Approx. 22cm,
FIG-MOE-04188,2012-06-01 00:00:00,6285,Griffon Enterprises,Touhou Project,Suwako Moriya,Kouta,1/8,Approx. H165mm,
FIG-MOE-2011,2014-04-01 00:00:00,9504,Griffon Enterprises,Touhou Project,Fujiwara no Mokou,i-con,1/8,Approx. H20cm,
FIGURE-048285,2019-10-01 00:00:00,13200,MegaHouse,"""Code Geass"" Series",C.C.,"Noritaka Fukumoto, M.I.C.Noritaka Fukumoto, M.I.C.",,Approx. H200mm,"ABS, PVC"
FIG-MOE-0554,2009-07-01 00:00:00,8434,Good Smile Company,Rosario + Vampire,Moka Akashiya,HiroshiSakura Zensen,1/8,Approx. H160mm,
FIG-MOE-5737,2012-08-01 00:00:00,8208,,High School D x D,Rias Gremory,,1/8 Pre-painted Complete Figure,Approx. L145mm (excluding the base),"PVC, ABS, SBS"
FIGURE-055465,2020-11-01 00:00:00,27280,Alter,"""Fate"" Series",Meltlilith(Alter Ego/Mysterious Alter Ego Lambda),Missile,1/8,Approx. H370mm (including base),
FIGURE-055673-R,2020-01-01 00:00:00,19000,Aniplex,"""Fate"" Series",Ereshkigal(Lancer),Akane JougeKnead,1/7,Approx. H260mm (Including the base/To the crown) / Approx.330mm (Including the base/To the spear's tip),"ABS, PVC"
FIGURE-034699,2020-03-01 00:00:00,15180,Kaitendo,Ao no Kanata no Four Rhythm,Misaki Tobisawa,"Deru, Kayanagi",1/7,Approx. H25cm,"Main Part: PVC, ABS / Base: ABS"
HOB-FIG-7057,2008-01-01 00:00:00,8424,Kotobukiya,Dead or Alive,Lei Fang,Uzou,1/6,Approx. L150mm,
FIG-MOE-0847,2013-03-01 00:00:00,8360,Griffon Enterprises,Queen's Blade,Elina,Abira,1/7,Approx. H25cm,
HOB-FIG-5780,2007-08-01 00:00:00,2056,Movic,Play Stationary,Harumi,Rei AzusaGundoll,,Approx. L10.5cm (non-scale),
FIGURE-004585,2014-11-01 00:00:00,14580,,High School D x D NEW,Rias Gremory,,1/6,Approx. H155mm,
FIGURE-055123,2021-03-01 00:00:00,20790,Genco,"""Sword Art Online"" Series",Asuna Yuuki(Asuna/Titania),Yuuko-nKnead,1/8,Approx. H246mm (including the effect part),PVC&ABS
FIGURE-048587,2019-10-01 00:00:00,17380,FuRyu,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Rem,Design COCO,1/7,Approx. H240mm (Top of head),"PVC, ABS, Iron"
HOB-FIG-7568,2007-12-01 00:00:00,1620,Toy's Planning,Zanma Taisei Demonbane,Al Azif,,,Approx. H110mm,"PVC, ABS"
FIG-MOE-1263-R,2009-11-01 00:00:00,9680,former Taki Corporation,,,FLEX,1/8,,
HOB-FIG-4873A,2008-01-01 00:00:00,4320,MegaHouse,Gin'iro no Olynssis,Tea,,Approx. 1/8,190mm,
HOB-FIG-3915,2006-09-01 00:00:00,4860,Kaiyodo,Dead or Alive,Kasumi,BOME,,Approx. H24cm,PVC/ Base: Partly ABS
FIGURE-022153,2017-08-01 00:00:00,12100,Kotobukiya,Grimoire of Zero (Zero kara Hajimeru Mahou no Sho),Zero,"Hirotoshi Nakamura, Tiger",1/8,Approx. H165mm,
FIGURE-015522-R,2016-05-01 00:00:00,14080,Alter,To Love-Ru Darkness,Mea Kurosaki,Amato Motomiya,1/7,Approx. H210mm,
FIGURE-005669,2014-07-01 00:00:00,9180,Lechery,Kyonyuu Fantasy,Shamsiel,,1/8,,
FIGURE-013617,2016-04-01 00:00:00,12960,OrchidSeed,Maken-Ki!,Aki Nijou,"Serow, RanmaruYamataikoku",1/7,Approx. H125mm,
HOB-FIG-4124B-R,2006-11-01 00:00:00,5500,MegaHouse,Holstein Hanako-san,Mariko Imai,Tanaka SenseiVice,Approx. 1/8,Approx. 200mm,
HOB-FIG-6387,2008-12-01 00:00:00,4536,Kotobukiya,CLANNAD,Tomoyo Sakagami,Hiroyuki Tsumezuka,1/8,Approx. H195mm,
FIGURE-036419-R,2018-05-01 00:00:00,1380,Banpresto,"""THE IDOLM@STER"" Series",Anzu Futaba,,,Approx. L12cm,
HOB-FIG-0014C,,3758,Kotobukiya,Galaxy Angel,Mint Blancmanche,,,,
FIGURE-042756,2019-03-01 00:00:00,13200,Kotobukiya,"""Tokyo Ghoul"" Series",Touka Kirishima(Tohka),Koei Matsumoto,1/8,Approx. H270mm,PVC
HOB-FIG-5176-R,2007-07-01 00:00:00,7124,OrchidSeed,Ikkitousen (Battle Vixens),Shimei Ryomou,Hiroman,1/7,Approx. H23cm,
FIG-MOE-0024,2009-10-01 00:00:00,9680,former Taki Corporation,Ikkitousen (Battle Vixens),Hakufu Sonsaku,,,Approx. H25cm,"PVC, ABS"
FIGURE-054134,2020-09-01 00:00:00,19800,AMAKUNI,"""Fate"" Series",Helena Blavatsky(Caster),i-conAiirosorairo,1/7,Approx. H21cm,
FIGURE-059116-R,,880,ASCII Media Works,Starship Operators,Sinon Kouzuki,Makoto YuunekoYuunekodo,,Approx. H120mm,PVC
HOB-FIG-3641C,2006-09-01 00:00:00,6480,Atelier Sai,My-Otome,Erstin Ho,,1/10,Approx. L150mm,
FIGURE-024998,2018-01-01 00:00:00,14904,Q-six,COMIC Hanaman,Anna,JusticeMouseUnit,1/6,Approx. 15cm,PVC
FIGURE-002602,2014-04-01 00:00:00,25509,,Border Break,,FREEing,1/8,Fiona Approx. 230mm/ Chihiro Approx. 200mm/ Hilda Approx. 235mm/ Cheska Approx. 150mm,
FIGURE-003405-R,2014-05-01 00:00:00,14080,Square Enix,Million Diffusion Arthur,Nimue,,1/8,Approx. 120 x 155 x 230mm,
FIG-MOE-0566,2009-05-01 00:00:00,1738,YAMATO,,,,,H9cm,"Non-phthalate PVC, ABS"
HOB-FIG-7931,2008-03-01 00:00:00,7313,Wafudo Ganguten,ToHeart2,Konomi Yuzuhara,G.OCerberus Project TM,1/7,Approx. H19cm,
FIG-MOE-4949,2012-05-01 00:00:00,7020,WAVE,Oreimo (My Little Sister Can't Be This Cute),Kirino Kousaka,ChizuruTsuru-no-yakata,1/8,Approx. H100mm,
FIG-MOE-0187,2009-01-01 00:00:00,6480,Kotobukiya,Hayate the Combat Butler (Hayate no Gotoku!),Hinagiku Katsura,Takaku & Takeshi,1/6,Approx. H245mm,
FIGURE-047316,2019-11-01 00:00:00,17380,Q-six,Shikijou Kyoudan,Yoshino Ayaka,NollgrecoQ-six,1/6,Approx. H17cm,PVC
FIGURE-042680,2019-06-01 00:00:00,15180,Alphamax,"""Date A Live"" Series",Kurumi Tokisaki,MOON,1/7,Approx. H24cm (excluding base),PVC
FIGURE-008767-R,2014-03-01 00:00:00,1280,former SEGA,K-On!!,Ui Hirasawa,,,Approx. H170mm,
FIG-MOE-4417-R,2012-03-01 00:00:00,8172,Good Smile Company,Bakemonogatari,Shinobu Oshino(Kiss-Shot Acerola-Orion Heart-Under-Blade),Ken Yokota,1/8,Approx. H200mm,
FIGURE-012280,2015-10-01 00:00:00,19580,Kurushima Seisakujo,Original Character: Kurushima Seisakujo,Sapphire,Keiko,1/7,Approx. H24cm (not including base),
FIGURE-045636,2019-11-01 00:00:00,17380,HOBBY MAX,Girls' Frontline,416(HK416),seka,1/8,Approx. H40cm (including base),PVC & ABS
FIGURE-017743,2019-04-01 00:00:00,14080,Alter,"""Tales of"" Series",Edna,Toshiaki Numakura,1/8,Approx. H210mm (including umbrella),
FIGURE-044424-R,2019-04-01 00:00:00,1580,Taito,"""Sword Art Online"" Series",Alice Zuberg,,,Approx. 18cm,
FIG-MOE-2515,2011-08-01 00:00:00,18480,Daiki Kogyo,Queen's Blade,Nanael,MELTING NEURON,1/6,Approx. H195mm,
FIG-MOE-7764,2013-05-01 00:00:00,9504,,one off,Haruno Shiozaki,Keijirou Togita,1/12,Approx. H132mm,
FIG-MOE-4266,2012-01-01 00:00:00,540,former SEGA,Bakemonogatari,Tsukihi Araragi,,,Approx. 7cm,
FIGURE-011347-R,2015-08-01 00:00:00,10120,Aoshima,Kantai Collection -Kan Colle-,Kaga,moineau,1/7,Approx. H23cm,PVC (partially ABS)
FIGURE-009152,2015-04-01 00:00:00,12744,Alphamax,Date A Live II,Kurumi Tokisaki,MOON,1/7,Approx. H23cm,
HOB-FIG-2696,2006-10-01 00:00:00,4936,Alter,Bakuretsu Tenshi (Burst Angel),Jo,Touji Tanaka,1/8,Approx. H200mm,
FIGURE-037440,2019-06-01 00:00:00,11713,Good Smile Company,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Emilia,Akachomu,1/7,Approx. H220mm,ABS & PVC
FIGURE-028406,2017-07-01 00:00:00,16956,DRAGON Toy,Issho ni Shiyo,Maya Suma,Shunji HagiiDRAGON Toy,1/6,Approx. H29cm,
FIG-MOE-0843,2009-09-01 00:00:00,7480,former Taki Corporation,Ikkitousen (Battle Vixens),Unchou Kan-u,M.I.C.,,,
FIGURE-000797,2013-10-01 00:00:00,5400,Bandai,Smile PreCure!,Yayoi Kise(Cure Peace),,,Approx. H120mm,"PVC, ABS"
FIGURE-016130-R,2016-07-01 00:00:00,13200,Plum,RO-KYU-BU!,Tomoka Minato,,1/7,Approx. H240mm,
FIG-MOE-1780,2010-06-01 00:00:00,10584,Miyabiya,Bible Black,Kurumi Imari,,1/8,Approx. H20cm,
FIGURE-052930-R,2019-10-01 00:00:00,1880,Bandai,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Rem,,,Approx. 17cm,
FIG-MOE-2115,2010-10-01 00:00:00,2305,Parthenon Productions,Touhou Project,Satori Komeiji,,,Approx. 8cm,
FIGURE-037551,2018-06-01 00:00:00,8800,Kotobukiya,DC Comics,Powergirl,Takashi TsukadaGILL GILL,1/7,Approx. H225mm,
FIG-MOE-2077,2011-09-01 00:00:00,11000,Kaitendo,Ikkitousen (Battle Vixens),Shimei Ryomou,ELLIOTT,1/6,,
FIG-MOE-0606A,2009-08-01 00:00:00,1130,former SEGA,Gurren Lagann,Yoko Littner(Teacher Yomako),zenkoIousen,,Approx. 18cm,
FIGURE-000138,2013-08-01 00:00:00,7179,,Oreimo (My Little Sister Can't Be This Cute),Kirino Kousaka,,1/8,Approx. H175mm not including base,"PVC, ABS (Non-phthalate Ester)"
FIGURE-045040,2020-03-01 00:00:00,21780,Phat Company,"""Fate"" Series",Musashi Miyamoto(Shinmen Musashi no Kami Fujiwara no Harunobu/Saber),Moineau,1/7,Approx. H260mm,ABS & PVC
HOB-FIG-2113A,2007-01-01 00:00:00,3828,Kotobukiya,ToHeart,Ayaka Kurusugawa,Tomoki MaedaWorks Sapporo,,Approx. H210mm,
FIG-MOE-0812,2011-06-01 00:00:00,13165,FREEing,Lucky Star,Kagami Hiiragi,FREEing,1/4,Approx. H380mm,
FIG-MOE-0031-R,2011-01-01 00:00:00,6380,Kotobukiya,ToHeart2,Yuki Kusakabe,Mesun,1/8,Approx. H200mm,
FIG-MOE-0609A,2009-09-01 00:00:00,1130,former SEGA,Gurren Lagann,Yoko Littner(Teacher Yomako),,,Approx. 18cm,
HOB-FIG-2431,2006-08-01 00:00:00,4936,Movic,Shirotsumesouwa,Ema,Satoshi TodaPrincipality of Kagutsuchino,,Approx. Window Box,
FIGURE-056131,2020-11-01 00:00:00,17380,KADOKAWA,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Ram,Akisame,1/7,Approx. H250mm,
FIGURE-050619-R,2019-12-01 00:00:00,13200,Kotobukiya,G.I. Joe,Baroness,Takaboku BusujimaBusujimax,1/7,Approx. H230mm (including base),PVC
HOB-FIG-3345B,2006-10-01 00:00:00,5400,Movic,Akiiro Renka,Aoi Niiyama,zenkoIousen,,Approx. H190mm,
FIG-MOE-6673,2012-11-01 00:00:00,15400,,Kanojo x Kanojo x Kanojo,Mafuyu Orifushi,Rei AzusaGundoll,1/7,Approx. 205mm,"Polystone (unsaturated polyester), PVC"
FIG-MOE-0525,2009-05-01 00:00:00,12960,Daiki Kogyo,Original Character,Rion,Hiroshi SatoOVER DARD,1/5,Approx. H370mm (325mm up to head),
FIGURE-048018,2019-12-01 00:00:00,19580,Orca Toys,FAIRY TAIL,Erza Scarlet(Erza Knightwalker),Daisuke MannoSanfujinka M,1/6,Approx. H205mm,"PVC, Base: ABS"
HOB-FIG-4820,2007-04-01 00:00:00,4936,Good Smile Company,Nanatsuiro Drops,Sumomo Akihime,Nendoron,1/8,Approx. H200mm,
FIGURE-001878,2013-11-01 00:00:00,10800,,Biblia Koshodou no Jiken Techou,Shioriko Shinokawa,,1/8,Approx. H120mm,"PVC, ABS (Non-phthalate Ester)"
HOB-FIG-9475,2009-10-01 00:00:00,9680,former Taki Corporation,Ikkitousen (Battle Vixens),Shimei Ryomou,,,H25cm,"ABS, PVC"
FIGURE-051846,2020-04-01 00:00:00,9680,Kotobukiya,"""Evangelion"" Series",Asuka Langley Soryu(Asuka Langley Shikinami),Tsukuru Shirahige,1/6,Approx. 220mm (including base),
FIGURE-002848,2014-02-01 00:00:00,11397,,Senran Kagura,Ikaruga,,1/8,Approx. H190mm,"PVC, ABS, SBS"
FIGURE-002510-R,2012-03-01 00:00:00,8580,Embrace Japan,Neko no Wakusei,Shiroi Neko,MamecchiKoufuku Shoten,,Approx. H200mm (non-scale),
FIG-MOE-6148,2012-12-01 00:00:00,43780,,"""Rebuild of Evangelion"" Series",Asuka Langley Soryu(Asuka Langley Shikinami),Shinpei YokoshimaGouhondou,1/6,Approx. L800mm,"PVC, ABS"
FIGURE-059726,2020-10-01 00:00:00,10120,Takara Tomy,My Hero Academia (Boku no Hero Academia),Himiko Toga(Himiko Toga),Hoyaman,1/8,Approx. H195mm,
FIG-MOE-4086,2011-12-01 00:00:00,10780,Kaitendo,Original Character,Akazukin-chan,,1/6,,"Candyresin / Hood, Apron, Underwear: PVC / Base: Transparent Acrylic"
FIG-MOE-5690,2012-09-01 00:00:00,20365,,Movie Sora no Otoshimono: Tokeijikake no Angeloid,Astraea,FREEing,1/4,Approx. H410mm,
FIG-MOE-2089,2011-02-01 00:00:00,11772,Real Art Project,,,Ryouichi IkedaR.S.B,1/6,Approx. H12cm,
FIGURE-054877,2020-06-01 00:00:00,14300,Bushiroad Creative,BanG Dream! Girls Band Party!,Ran Mitake,,1/7,Approx. H220mm,"Figure, Base: PVC, ABS"
HOB-FIG-3086,2010-03-01 00:00:00,7480,Kotobukiya,,,Hiroshi Inagaki,1/8,Approx. H100 x 250mm,
FIG-MOE-0518,2009-05-01 00:00:00,15120,Miyabiya,Bible Black,Kaori Saeki,Satoshi SugiyamaNAGAE Art Production,1/8,Approx. H20cm,"PVC, ABS"
FIG-MOE-3385,2011-08-01 00:00:00,19580,A+,Queen's Blade,Echidna,GIGANTES,1/4.5,H205 x W205 x D120mm,
FIG-MOE-4997,2012-09-01 00:00:00,8580,Griffon Enterprises,Touhou Project,Flandre Scarlet,i-con,1/8,Approx. H23cm,"ABS, PVC"
HOB-FIG-8337,2011-02-01 00:00:00,8360,Chara-ani,Highschool of the Dead,Rei Miyamoto,,1/8,Approx. H12cm,"PVC, ABS"
FIGURE-060577,2020-10-01 00:00:00,17380,Aoshima,Demon Slayer: Kimetsu no Yaiba,Shinobu Kocho(Insect Pillar),YoheiWonderful Works,1/7,Approx. H25cm,"ATBC-PVC, ABS"
HOB-FIG-6382,2009-12-01 00:00:00,4950,Kotobukiya,ToHeart2,Chie Yoshioka,Fio,1/8,Approx. H190mm,
FIG-MOE-3642,2012-06-01 00:00:00,4104,amiami,Nekogami Yaoyorozu,Mayu,Hajime KouzukiLittle pink summer,,H12.5cm (non-scale),
FIG-MOE-2608,2011-09-01 00:00:00,9504,CM's Corporation,Asobi ni Iku yo!,Ellis,,1/8,Approx. H200mm,
FIGURE-019991,2016-11-01 00:00:00,14040,Bellfine,Miss Monochrome,Miss Monochrome,Houjun Otoyama,1/8,Approx. L190mm,"PVC, ABS, Magnet"
FIG-MOE-5525,2012-08-01 00:00:00,6994,Max Factory,Haganai (Boku wa Tomodachi ga Sukunai),Kobato Hasegawa,YOSHI,1/7,Approx. H135mm,
FIGURE-060900-R,2020-07-01 00:00:00,780,Bandai,Fate/stay night,Sakura Matou,,,Approx. 21cm,
FIGURE-058075-R,2020-03-01 00:00:00,980,FuRyu,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Ram,,,Approx. 21cm,
FIGURE-050402,2020-01-01 00:00:00,14300,MegaHouse,"""Gintama"" Series",Kagura,Piron,,Approx. L210mm,PVC/ABS
FIGURE-054749,2020-01-01 00:00:00,1650,Plum,Yuru Camp (Laid-Back Camp),Rin Shima,,,H70mm (non-scale),PVC
FIGURE-031202,2018-06-01 00:00:00,14056,Max Factory,Hatsune Miku -Project DIVA-,Megurine Luka,Grizzry Panda,1/7,Approx. H240mm,
FIG-MOE-07521-R,2012-08-01 00:00:00,1980,Banpresto,"""Evangelion"" Series",Mari Makinami Illustrious,,,Approx. H240mm,
FIGURE-011073,2015-04-01 00:00:00,13096,Union Creative,"""VOCALOID"" Series",Calne Ca(Ca),Keita Kawai,,Approx. 250mm,"ATBC-PVC, ABS / Base: ABS"
FIGURE-047490-R,2019-04-01 00:00:00,6980,Banpresto,That Time I Got Reincarnated as a Slime (Tensei shitara Slime datta ken),Milim Nava,,,,
FIGURE-060005,2020-11-01 00:00:00,16280,SkyTube,Comic Aun,Alice,HIRO,1/6,Main Part: Approx. H25.5cm,PVC
FIGURE-000691,2014-02-01 00:00:00,3780,Nitro+,Fullmetal Daemon Muramasa,,Hajime Kaiya,,Ichijo Ayane Approx. 52mm with base/ Kanae Ootori Approx. 58mm with base,"PVC, ABS"
FIG-MOE-2478,2011-05-01 00:00:00,7344,MegaHouse,Mayoi Neko Overrun!,Nozomi Kiriya,Masaki InadaHEPTA,1/8,Approx. H200mm,
HOB-FIG-4368,2006-12-01 00:00:00,2700,Takara Tomy A.R.T.S,Genso Suikoden,Lyon,,,Approx. 14cm Tall,"PVC, ABS, other"
FIGURE-044425,2019-06-01 00:00:00,1500,Taito,Re:ZERO -Starting Life in Another World- (Re: Zero kara Hajimeru Isekai Seikatsu),Rem,,,Approx. 23cm,
FIGURE-029155,2018-01-01 00:00:00,15984,SkyTube,Comic Aun,Matsuri Tougetsu,HIRO,1/6,Approx. H27cm,
HOB-FIG-4435,2006-12-01 00:00:00,6458,WAVE,Dirty Pair,,,1/10,,
FIGURE-032377,2017-12-01 00:00:00,1300,Banpresto,"""Love Live!"" Series",Dia Kurosawa,,,Approx. H22cm,
HOB-FIG-4346-R,2006-12-01 00:00:00,15180,Amie-Grand,Neon Genesis Evangelion,Rei Ayanami,suzuATOMIC-BOM,1/6,Approx. H20cm including base,
FIG-MOE-0019,2008-11-01 00:00:00,8023,Art Storm,Original Character: Shunya Yamashita,Canal,Tatsuhiro Fujiwara,1/6,Approx. H210mm,
FIGURE-046469,2019-05-01 00:00:00,18590,A+,COMIC Shingeki,Saki Nishina,Ryuusuke,1/6,Approx. H280mm x W150mm x D120mm,Figure Main Part: PVC / Base: Acrylic
FIGURE-052738,2020-07-01 00:00:00,17380,ques Q,Mahou Shoujo,Misa Suzuhara(Misanee),Takaboku BusujimaBusujimax,1/7,H: Main Figure Approx. 27cm,PVC (Partly ABS)
FIGURE-030836,2017-09-01 00:00:00,16200,Kaitendo,"""High School D x D"" Series",Rias Gremory,Kayanagi,1/6,Approx. H30cm,"Figure Main Part: PVC, ABS, Fabric / Base: ABS"
HOB-FIG-4633,2007-01-01 00:00:00,2808,Takara Tomy A.R.T.S,PangYa,Arin,,,Approx. 15cm,"PVC, ABS, other"
FIG-MOE-0502,2009-05-01 00:00:00,9325,COSPA,ToHeart2,Nanako,,1/6,Approx. H16cm,PVC (Partly ABS)
FIG-MOE-3598-R,2011-11-01 00:00:00,13200,Gift,Magical Girl Lyrical Nanoha StrikerS,Hayate Yagami,Takayuki KondoG-DOME,1/4,Approx. H370mm,
FIG-MOE-2643,2011-09-01 00:00:00,9504,Penguin Parade,"""Hyakka Ryoran"" Series",Jubei Yagyu,HOKUSOH,1/8,Approx. H230mm,
FIGURE-017916,2016-07-01 00:00:00,13500,Chara-ani,Period sweet drops,Hatsumi Kosaka,Chikai,1/7,Approx. H240mm,"PVC, ABS (*non-phthalate ester)"
FIGURE-042552-R,2018-09-01 00:00:00,560,System Service,Is the order a rabbit? (Gochuumon wa Usagi desu ka?),Chino Kafuu(Chino),,,,
FIGURE-059950-R,2020-09-01 00:00:00,16280,Bellfine,"""Fate"" Series",Chloe Von Einzbern(Kuro),MinheruBlond Parrot,1/6,Approx. H145mm,"PVC, ABS"
FIGURE-051584,2020-07-01 00:00:00,18480,SkyTube,,,2%,1/6,Main Figure Approx. H16cm (excluding base),
FIGURE-007221,2014-11-01 00:00:00,15180,,Yosuga no Sora,Sora Kasugano,Ryo Hashimoto,1/7,Approx. H220mm including the chair,
HOB-FIG-8525,2008-06-01 00:00:00,24200,Musashiya,Ikkitousen (Battle Vixens),Shimei Ryomou,Ushio Karumagi,1/5,Approx. 40cm,
FIG-MOE-03560-R,2010-05-01 00:00:00,7920,Volks,"""VOCALOID"" Series",Hatsune Miku,Milchestrasse,1/6,,
FIGURE-046295,2019-06-01 00:00:00,3972,Good Smile Company,"""VOCALOID"" Series",Hatsune Miku,Design COCO,,Approx. H170mm (non-scale),ABS & PVC
HOB-FIG-6974,2007-12-01 00:00:00,16280,Amie-Grand,Neon Genesis Evangelion,Asuka Langley Soryu(Asuka Langley Shikinami),suzuATOMIC-BOM,1/6,Approx. H28.5cm including base,
